Trail;Urbanization;Sambucus nigra L. ;Aegopodium  podagraria L.;Anthriscus sylvestris L. ;Carum  carvi L. ;Daucus carota sativus;Pastinaca sativa L.;Peucedanum  palustre ;Achillea millefolium L.;Anthemis  tinctoria;Arctium  tomentosum;Arnoseris minima;Artemisa vulgaris L.;Bellis  perennis L.;Carduus acanthoides L.;Centaurea jacea L.;Cirsium  arvense;Crepis praemorsa;Crepis tectorum;Hieracium murorum L. ;Hieracium pilosella L.;Hieracium umbellatum;Hieracium Vulgata;Lactuca muralis;Lapsana  comunnis;Leontodon hispidus;Leucanthemum vulgare Lam.;Matricaria  discoides DC.;Matricaria  matricarioides;Onopordum acanthium L.;Picris hieracioides;Pilosella officinarum ;Scorzoneroides autumnalis L.;Senecio vulgaris ;Sonchus arvensis;Tanacetum vulgare L.;Taraxacum  officinale;Tragopogon pratensis L.;Tripleurospermum perforatum ;Echium vulgare;Myosotis laxa;Myosotis ramosissima;Myosotis Scorpioides;Myosotis sylvatica;Symphytum  x uplandicum;Alliaria petiolata;Bunias orientalis L.;Capsela  bursa-pastoris L. ;Cardamine pratensis;Sinapis arvensis;Sisymbrium altissimum L. ;Thlaspi  arvense L.;Campanula persicifolia L.;Campanula rotundifolia;Campanula trachelium L. ;Cerastium  fontanum Baumg.;Dianthus  deltoides;Scleranthus  annuus L.;Silene nutans L.;Stellaria alsine;Stellaria graminea L.;Stellaria media L. ;Stellaria palustris Retz. ;Sedum acre L. ;Calystegia sepium ;Convolvulus arvensis L.;Drosera rotundifolia L. ;Calluna vulgaris;Pyrola minor L. ;Pyrola rotundifolia L. ;Euphorbia  helioscopia;Anthyllis vulneraria;Medicago  falcata L.;Medicago  lupulina L.;Melilotus  albus Medik.;Melilotus  officinalis;Lotus corniculatus L.;Trifolium arvense;Trifolium medium;Trifolium montanum;Trifolium pratense L. ;Trifolium repens L.;Lathyrus linifolius;Lathyrus pratensis L. ;Vicia cracca L. ;Vicia sepium L.;Erodium cicutarium;Geranium Lucidum;Geranium pusillum;Geranium pyrenaicum;Geranium robertianum L. ;Geranium sanguineum;Geranium sylvaticum L. ;Hypericum maculatum Crantz. ;Hypericum montanum;Hypericum perforatum L.;Iris pseudacorus L. ;Lamium album L.;Lamium purpureum L. ;Mentha arvensis L. ;Prunella vulgaris L.;Scutellaria galericulata L. ;Lilium martagon L. ;Lythrum salicaria;Lysimachia nummularia L.;Lysimachia punctata;Lysimachia vulgaris L. ;Nuphar lutea;Chamaenerion angustifolium;Epilobium palustre;Platanthera chlorantha;Melampyrum cristatum L.;Melampyrum nemorosum L.;Melampyrum sylvaticum L. ;Melampyrum pratense L.;Rhinanthus angustifolius;Rhinanthus minor L. ;Chelidonium  majus L.;Fumaria  officinalis;Chaenorhinum minus ;Linaria  vulgaris Mill.;Plantago lanceolata L.;Plantago major L.;Plantago media;Veronica  arvensis;Veronica  chamaedrys L. ;Veronica  officinalis;Veronica  verna;Persicaria maculosa Gray. ;Persicaria vivipara;Polygala vulgaris;Rumex acetosa L.;Rumex acetosella L.;Rumex crispus L.;Rumex longifolius L.;Trientalis europaea;Ranunculus acris L.;Ranunculus repens;Agrimonia  eupatoria L.;Alchemilla vulgaris L.;Argentina anserina L. ;Filipendula ulmaria L.;Filipendula vulgaris;Fragaria  vesca L. ;Geum rivale L.;Geum urbanum L.;Potentilla anserina;Potentilla argentea L.;Potentilla erecta;Potentilla palustris;Potentilla reptans L.;Rosa dumalis Bechst.;Rosa rugosa Thunberg.;Galium album Mill. ;Galium boreale L.;Galium palustre;Galium uliginosum;Galium verum L.;Verbascum  thapsus;Veronica  officinalis L.;Urtica dioica L. ;Viola arvensis;Viola biflora L. 
Danmark;Urban;0;2;0;0;0;0;0;21;0;0;0;0;0;0;6;6;0;0;0;0;0;0;2;0;0;6;0;0;0;2;2;0;0;0;0;5;0;4;0;0;0;0;6;6;1;5;4;0;0;3;0;0;0;0;3;0;2;0;0;0;3;0;25;0;9;0;0;0;0;0;0;3;0;0;0;0;0;0;0;27;27;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;23;2;0;0;0;0;0;0;0;0;0;0;0;0;2;37;0;0;2;0;0;0;0;0;3;0;4;0;0;13;0;0;2;0;6;0;0;0;3;0;0;0;0;4;0;0;13;0;0;0;6;0;0;3;0;0
Danmark;Rural;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;7;0;0;0;0;1;17;2;0;0;12;0;1;4;0;0;0;0;0;0;0;3;8;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;23;0;1;0;53;43;0;25;17;0;0;0;0;0;0;0;3;1;0;3;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;2;1;27;0;0;0;0;0;0;0;0;0;0;2;0;0;7;0;0;16;0;8;5;0;0;0;1;0;0;0;15;0;0;21;3;0;0;17;0;0;3;0;0
GamlaUppsala;Urban;0;13;1;0;0;0;0;11;0;4;0;0;10;0;0;9;0;0;0;0;0;1;2;0;0;3;0;6;0;0;0;0;0;0;9;7;0;6;0;0;0;1;3;28;3;22;4;0;0;0;0;0;0;5;2;0;2;0;0;3;1;0;0;11;13;0;0;0;0;0;0;0;10;0;0;0;0;0;0;13;25;0;0;0;0;0;0;0;0;0;0;0;5;0;3;0;3;0;0;12;0;0;0;0;0;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;5;3;0;13;4;0;0;0;9;3;0;0;3;3;0;0;0;0;0;0;4;0;0;0;0;1;0;14;2;0
GamlaUppsala;Rural;0;0;8;0;0;0;1;7;0;0;0;3;0;5;0;4;14;0;5;0;0;4;16;0;0;4;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;3;1;0;0;0;7;0;1;3;0;0;0;0;0;0;4;0;0;0;18;5;0;12;17;2;0;0;0;0;0;0;2;3;0;0;0;0;0;1;1;1;0;0;0;0;17;0;2;3;0;0;0;7;0;0;6;0;0;1;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;1;10;0;3;0;0;0;1;11;3;0;0;0;6;3;3;3;3;0;0;13;0;0
Gottsunda;Urban;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,5;32,5;0;17,5;0;7,5;0;0;0;0;2,5;0;2,5;0;0;7,5;0;2,5;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;7,5;0;0;0;0;0;0;0;17,5;0;0;0;7,5;0;2,5;0;0;0;0;0;0;0;5;0;0;0;0;0;40;0;0;0;0;0;0;7,5;0;0
Gottsunda;Rural;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4;0;0;0;59;47;0;5;2;15;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;23;0;0;1;0;0;0;0;0;0;0;0;8;13;10;0;0;0;0;3;0;0;0;3;0;0;0;0;0;3;0;31;1;0;0;1;0;0;4;0;0
Håga;Urban;0;7;1;1;0;0;0;9;0;0;0;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;2;0;5;0;0;0;0;4;1;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;59;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;59;0;0;3;0;0;0;0;0;0;0;0;0;0;0;8;0;10;0;0;0;0;0;4;0;0;0;0;16;0;0;0;0;0;0;0;0;0;1;0;0
Håga;Rural;0;0;0;0;0;0;0;11;1;3;2;3;0;0;12;1;0;1;0;17;1;0;0;0;1;13;0;0;0;0;0;4;0;0;0;4;2;3;0;0;1;0;0;0;0;1;2;0;0;0;0;11;41;0;0;4;2;2;0;25;0;0;0;0;1;0;3;0;0;1;2;0;0;0;0;25;4;1;1;35;27;1;3;11;9;0;0;1;1;1;0;0;7;0;13;0;1;0;0;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;9;2;0;1;0;0;1;25;3;0;1;5;0;0;1;16;1;3;0;0;0;2;0;2;27;0;9;17;0;0;0;0;3;21;0;0;0;0;13;9;0;0;37;0;0;1;2;0
EngPark;Urban;0;5;5;0;0;0;0;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;65;65;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
Husby;Urban;0;26;0,5;0;0;0;0;11,5;0;8,5;0;3;3;0;0;3,5;0;0;0;0;0;0;0;0;0;5;25;0;0;0;0;0;0;0;0;8;0;0,5;0;0;0;0;3;9,5;3,5;10,5;2;0;0;0;0;0;0;3,5;1,5;0;0;0;0;0,5;22,5;0;0;12;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;1,5;54;0;1;0;1,5;0;0;0;0;0;0,5;0;0;0;0;0,5;6,5;0,5;0;8;0;1;0;0,5;0;0;11;0,5;0;0;0;0;0;0;0;0;0;1;0;0;0;41;0;0;0;0;0;0;0;0;0;1,5;3;1,5;0;11,5;0;0;4,5;3,5;9,5;0;1,5;0;6,5;0;0,5;0;0;0;0;0;5,5;0;0;0;0;0;0;18;0,5;0
